,CustomerID,ItemID,Sex,Age,Profession,CityType,YearsInCity,Married,ItemCategory1,ItemCategory2,ItemCategory3,Amount
56,1000015,P00334242,M,26-35,7,A,1,0.0,1,8.0,,19653
57,1000015,P00247542,M,26-35,7,A,1,0.0,8,16.0,,5958
58,1000015,P00338442,M,26-35,7,A,1,0.0,1,16.0,,11415
59,1000015,P00275142,M,26-35,7,A,1,0.0,5,8.0,,5380
60,1000015,P00333042,M,26-35,7,A,1,0.0,5,8.0,,3594
61,1000015,P00166242,M,26-35,7,A,1,0.0,8,,,4209
62,1000015,P00161942,M,26-35,7,A,1,0.0,5,8.0,,5407
63,1000015,P00348242,M,26-35,7,A,1,0.0,8,,,7803
64,1000015,P00042142,M,26-35,7,A,1,0.0,1,2.0,6.0,11458
70,1000018,P00366542,F,18-25,3,B,3,1.0,5,,,1780
71,1000018,P00190742,F,18-25,3,B,3,1.0,3,4.0,9.0,10754
72,1000018,P00151842,F,18-25,3,B,3,1.0,4,8.0,9.0,2802
73,1000018,P00112642,F,18-25,3,B,3,1.0,1,2.0,5.0,19473
74,1000018,P00118442,F,18-25,3,B,3,1.0,1,2.0,,19672
75,1000018,P00034442,F,18-25,3,B,3,1.0,1,14.0,16.0,19313
76,1000018,P00222242,F,18-25,3,B,3,1.0,1,2.0,13.0,15182
77,1000018,P00118342,F,18-25,3,B,3,1.0,2,3.0,15.0,15985
78,1000018,P00324742,F,18-25,3,B,3,1.0,2,9.0,14.0,16454
79,1000018,P00190042,F,18-25,3,B,3,1.0,3,4.0,5.0,13551
80,1000018,P0094142,F,18-25,3,B,3,1.0,4,5.0,,697
81,1000018,P00138542,F,18-25,3,B,3,1.0,5,6.0,,7030
82,1000018,P00158542,F,18-25,3,B,3,1.0,5,6.0,13.0,5430
83,1000018,P00157542,F,18-25,3,B,3,1.0,8,14.0,,8011
84,1000018,P00044142,F,18-25,3,B,3,1.0,8,16.0,,5912
1192,1000197,P0099342,M,18-25,14,A,3,0.0,5,8.0,,7041
1405,1000228,P00256642,M,26-35,15,A,1,0.0,5,,,3687
1592,1000259,P00002542,M,26-35,1,B,4+,0.0,8,14.0,,7923
1593,1000259,P00046742,M,26-35,1,B,4+,0.0,1,2.0,15.0,12044
1594,1000259,P00144642,M,26-35,1,B,4+,0.0,1,15.0,16.0,15383
1595,1000259,P00106742,M,26-35,1,B,4+,0.0,3,5.0,,10692
1596,1000259,P00052842,M,26-35,1,B,4+,0.0,10,15.0,,18886
1597,1000259,P00111142,M,26-35,1,B,4+,0.0,1,15.0,16.0,15464
1598,1000259,P00184142,M,26-35,1,B,4+,0.0,8,14.0,,7757
2008,1000321,P00003242,M,18-25,4,B,3,0.0,8,15.0,,8070
2009,1000321,P00113342,M,18-25,4,B,3,0.0,1,8.0,17.0,15460
2010,1000321,P00149142,M,18-25,4,B,3,0.0,11,,,4612
2011,1000321,P00214642,M,18-25,4,B,3,0.0,11,13.0,16.0,1525
2012,1000321,P00100442,M,18-25,4,B,3,0.0,2,4.0,5.0,16014
2013,1000321,P00181942,M,18-25,4,B,3,0.0,11,,,3215
2014,1000321,P00035542,M,18-25,4,B,3,0.0,3,4.0,12.0,13200
2015,1000321,P00139742,M,18-25,4,B,3,0.0,8,16.0,,8038
2026,1000325,P00157542,F,51-55,3,A,1,1.0,8,14.0,,10038
2027,1000325,P00067942,F,51-55,3,A,1,1.0,5,14.0,,6984
2028,1000325,P00134942,F,51-55,3,A,1,1.0,5,14.0,,8667
2373,1000375,P00274942,M,26-35,2,B,1,0.0,8,,,10069
2374,1000375,P00349242,M,26-35,2,B,1,0.0,8,,,8108
2456,1000394,P00148842,M,18-25,0,C,1,0.0,6,8.0,16.0,12656
2457,1000394,P00044442,M,18-25,0,C,1,0.0,1,16.0,,11858
2613,1000421,P00186642,F,46-50,3,A,1,1.0,2,4.0,15.0,13035
2905,1000468,P00087342,F,0-17,10,B,1,0.0,5,14.0,16.0,8700
2910,1000473,P00335542,F,18-25,4,A,1,0.0,8,,,8099
2911,1000473,P00085842,F,18-25,4,A,1,0.0,12,,,745
2912,1000473,P00086042,F,18-25,4,A,1,0.0,8,14.0,17.0,10004
2958,1000478,P00071442,M,51-55,16,A,2,1.0,15,17.0,,21233
3135,1000517,P00186542,F,26-35,14,A,1,0.0,2,4.0,8.0,9875
3136,1000517,P00127042,F,26-35,14,A,1,0.0,4,5.0,,2817
3137,1000517,P00138842,F,26-35,14,A,1,0.0,5,,,3693
3138,1000517,P00279642,F,26-35,14,A,1,0.0,7,,,16285
3139,1000517,P0094342,F,26-35,14,A,1,0.0,4,5.0,18.0,2109
3140,1000517,P00317142,F,26-35,14,A,1,0.0,2,15.0,,9608
3141,1000517,P00085242,F,26-35,14,A,1,0.0,8,14.0,17.0,9765
3142,1000517,P00319342,F,26-35,14,A,1,0.0,5,8.0,,8699
3143,1000517,P00309942,F,26-35,14,A,1,0.0,5,,,5182
3172,1000524,P00346542,M,18-25,0,A,0,1.0,10,13.0,16.0,23728
3173,1000524,P00128942,M,18-25,0,A,0,1.0,1,11.0,,19607
3174,1000524,P00334042,M,18-25,0,A,0,1.0,1,11.0,15.0,15576
3175,1000524,P00035742,M,18-25,0,A,0,1.0,11,,,5936
3176,1000524,P00122442,M,18-25,0,A,0,1.0,1,11.0,15.0,11754
3177,1000524,P00245642,M,18-25,0,A,0,1.0,5,11.0,12.0,8721
3178,1000524,P00348542,M,18-25,0,A,0,1.0,1,16.0,,15882
3179,1000524,P00014542,M,18-25,0,A,0,1.0,8,,,6183
3180,1000524,P0098442,M,18-25,0,A,0,1.0,7,8.0,,16984
3181,1000524,P00081842,M,18-25,0,A,0,1.0,8,,,6009
3182,1000524,P00043842,M,18-25,0,A,0,1.0,8,13.0,14.0,8109
3183,1000524,P00238442,M,18-25,0,A,0,1.0,6,,,20551
3184,1000524,P00157342,M,18-25,0,A,0,1.0,8,,,9713
3185,1000524,P00289342,M,18-25,0,A,0,1.0,5,8.0,14.0,7028
3186,1000524,P00152442,M,18-25,0,A,0,1.0,8,,,7938
3187,1000524,P00042742,M,18-25,0,A,0,1.0,5,14.0,,8796
3188,1000524,P00126042,M,18-25,0,A,0,1.0,8,14.0,,7983
3189,1000524,P00102442,M,18-25,0,A,0,1.0,8,,,9700
3190,1000524,P00215642,M,18-25,0,A,0,1.0,8,,,9782
3191,1000524,P00120442,M,18-25,0,A,0,1.0,8,,,8009
3192,1000524,P00109542,M,18-25,0,A,0,1.0,8,14.0,17.0,6131
3193,1000524,P00002242,M,18-25,0,A,0,1.0,6,8.0,16.0,16373
3194,1000524,P00171342,M,18-25,0,A,0,1.0,13,16.0,,750
3195,1000524,P00074342,M,18-25,0,A,0,1.0,5,,,7037
3196,1000524,P00067942,M,18-25,0,A,0,1.0,5,14.0,,8874
3197,1000524,P00041342,M,18-25,0,A,0,1.0,11,15.0,16.0,6011
3198,1000524,P00039742,M,18-25,0,A,0,1.0,5,,,6923
3199,1000524,P00156742,M,18-25,0,A,0,1.0,5,6.0,8.0,3634
3200,1000524,P00139542,M,18-25,0,A,0,1.0,5,,,7012
3201,1000524,P00216442,M,18-25,0,A,0,1.0,5,,,7189
3202,1000524,P00084442,M,18-25,0,A,0,1.0,13,16.0,,943
3203,1000524,P00055642,M,18-25,0,A,0,1.0,4,5.0,,2842
3204,1000524,P00115642,M,18-25,0,A,0,1.0,8,14.0,,7890
3205,1000524,P0097142,M,18-25,0,A,0,1.0,12,,,1736
3206,1000524,P00266942,M,18-25,0,A,0,1.0,8,13.0,14.0,2213
3207,1000524,P00040342,M,18-25,0,A,0,1.0,18,,,1609
3208,1000524,P00074042,M,18-25,0,A,0,1.0,16,,,4151
3209,1000524,P00041042,M,18-25,0,A,0,1.0,1,16.0,,15746
3210,1000524,P00052742,M,18-25,0,A,0,1.0,16,,,8670
3211,1000524,P00049242,M,18-25,0,A,0,1.0,5,,,2019
3212,1000524,P00140442,M,18-25,0,A,0,1.0,1,6.0,14.0,7745
3213,1000524,P00206442,M,18-25,0,A,0,1.0,1,5.0,9.0,3857
3214,1000524,P00269242,M,18-25,0,A,0,1.0,11,13.0,,2981
3215,1000524,P00052442,M,18-25,0,A,0,1.0,5,8.0,,5149
3235,1000531,P00307342,F,18-25,14,B,0,0.0,8,,,7764
3236,1000531,P00216342,F,18-25,14,B,0,0.0,3,4.0,5.0,13505
3237,1000531,P00303242,F,18-25,14,B,0,0.0,5,8.0,,8573
3238,1000531,P00295842,F,18-25,14,B,0,0.0,5,8.0,,5331
3239,1000531,P00155342,F,18-25,14,B,0,0.0,5,13.0,,3552
3240,1000531,P00214342,F,18-25,14,B,0,0.0,5,,,5211
3241,1000531,P00051942,F,18-25,14,B,0,0.0,5,6.0,11.0,3480
3242,1000531,P0099742,F,18-25,14,B,0,0.0,3,4.0,5.0,5296
3243,1000531,P00231142,F,18-25,14,B,0,0.0,5,8.0,,5251
3244,1000531,P00166042,F,18-25,14,B,0,0.0,5,,,5223
3245,1000531,P00190142,F,18-25,14,B,0,0.0,3,4.0,5.0,13388
3246,1000531,P00189242,F,18-25,14,B,0,0.0,5,,,7122
3247,1000531,P00252942,F,18-25,14,B,0,0.0,2,5.0,,6368
3248,1000531,P00331942,F,18-25,14,B,0,0.0,5,,,5278
3249,1000531,P00190342,F,18-25,14,B,0,0.0,4,12.0,,3516
3250,1000531,P00169442,F,18-25,14,B,0,0.0,8,,,4150
3251,1000531,P00274942,F,18-25,14,B,0,0.0,8,,,8011
3252,1000531,P00015642,F,18-25,14,B,0,0.0,8,16.0,17.0,6105
3253,1000531,P00062742,F,18-25,14,B,0,0.0,8,17.0,,5983
3254,1000531,P00187942,F,18-25,14,B,0,0.0,4,8.0,,2054
3255,1000531,P00020242,F,18-25,14,B,0,0.0,8,14.0,,5894
3256,1000531,P00017742,F,18-25,14,B,0,0.0,8,14.0,,4134
3257,1000531,P00103042,F,18-25,14,B,0,0.0,1,14.0,,15745
3258,1000531,P00242742,F,18-25,14,B,0,0.0,1,2.0,9.0,15505
3259,1000531,P00325742,F,18-25,14,B,0,0.0,2,9.0,,10072
3260,1000531,P00355642,F,18-25,14,B,0,0.0,16,,,12788
3261,1000531,P00324942,F,18-25,14,B,0,0.0,5,,,5242
3262,1000531,P00223142,F,18-25,14,B,0,0.0,5,,,7036
3263,1000531,P00366542,F,18-25,14,B,0,0.0,5,,,5329
3264,1000531,P00034042,F,18-25,14,B,0,0.0,1,2.0,16.0,15413
3265,1000531,P00212142,F,18-25,14,B,0,0.0,8,,,5879
3266,1000531,P00087242,F,18-25,14,B,0,0.0,14,,,11316
3267,1000531,P00085042,F,18-25,14,B,0,0.0,5,6.0,,5254
3550,1000573,P00296042,F,36-45,2,B,0,1.0,8,13.0,16.0,8083
3639,1000590,P00366542,F,36-45,6,C,1,0.0,5,,,6958
3640,1000590,P00332942,F,36-45,6,C,1,0.0,5,8.0,,7175
3641,1000590,P00332042,F,36-45,6,C,1,0.0,8,16.0,,6061
3642,1000590,P00018542,F,36-45,6,C,1,0.0,16,,,20840
3643,1000590,P00007942,F,36-45,6,C,1,0.0,8,,,9882
3753,1000620,P00156742,M,18-25,0,A,3,0.0,5,6.0,8.0,3665
3754,1000620,P00070942,M,18-25,0,A,3,0.0,3,5.0,16.0,13577
3755,1000620,P00003942,M,18-25,0,A,3,0.0,5,14.0,,5286
3756,1000620,P00075442,M,18-25,0,A,3,0.0,5,11.0,,7086
3757,1000620,P00034742,M,18-25,0,A,3,0.0,5,14.0,17.0,6947
3758,1000620,P00295842,M,18-25,0,A,3,0.0,5,8.0,,6858
3759,1000620,P00256642,M,18-25,0,A,3,0.0,5,,,5284
3760,1000620,P00057442,M,18-25,0,A,3,0.0,5,14.0,16.0,5258
3761,1000620,P00127942,M,18-25,0,A,3,0.0,1,2.0,5.0,11734
3762,1000620,P00057342,M,18-25,0,A,3,0.0,4,5.0,,2081
3763,1000620,P00070742,M,18-25,0,A,3,0.0,5,,,3434
3764,1000622,P00184942,M,26-35,0,B,1,1.0,1,8.0,17.0,15192
3765,1000622,P00109842,M,26-35,0,B,1,1.0,8,,,7912
3766,1000622,P00028842,M,26-35,0,B,1,1.0,6,8.0,,15941
3767,1000622,P00024042,M,26-35,0,B,1,1.0,7,,,16509
3835,1000634,P00003442,F,0-17,10,C,4+,0.0,4,5.0,8.0,2102
3836,1000634,P00151842,F,0-17,10,C,4+,0.0,4,8.0,9.0,2868
3907,1000645,P00286342,M,36-45,20,A,2,0.0,7,,,20599
3908,1000645,P00116142,M,36-45,20,A,2,0.0,10,13.0,16.0,23395
3975,1000655,P00335942,F,26-35,2,B,2,1.0,8,,,6170
3976,1000655,P00209842,F,26-35,2,B,2,1.0,5,8.0,,7185
3977,1000655,P00314942,F,26-35,2,B,2,1.0,8,,,6184
3978,1000655,P00323942,F,26-35,2,B,2,1.0,8,15.0,,6035
3979,1000655,P00347042,F,26-35,2,B,2,1.0,8,,,3993
3980,1000655,P00328642,F,26-35,2,B,2,1.0,8,16.0,,3915
3981,1000655,P00239342,F,26-35,2,B,2,1.0,8,,,5903
3982,1000655,P00085042,F,26-35,2,B,2,1.0,5,6.0,,5179
3983,1000655,P00022942,F,26-35,2,B,2,1.0,5,8.0,,3444
3984,1000655,P00212742,F,26-35,2,B,2,1.0,5,,,1753
3985,1000655,P00108842,F,26-35,2,B,2,1.0,5,15.0,,5262
3986,1000655,P00029742,F,26-35,2,B,2,1.0,5,,,3435
3987,1000655,P00190742,F,26-35,2,B,2,1.0,3,4.0,9.0,8214
3988,1000655,P00195342,F,26-35,2,B,2,1.0,2,5.0,,3710
4003,1000662,P00277642,M,18-25,4,B,2,1.0,2,3.0,10.0,13220
4004,1000662,P00249642,M,18-25,4,B,2,1.0,3,5.0,,10824
4005,1000662,P00063342,M,18-25,4,B,2,1.0,1,2.0,9.0,15707
4006,1000662,P00259342,M,18-25,4,B,2,1.0,5,9.0,,5210
4007,1000662,P00187442,M,18-25,4,B,2,1.0,2,4.0,5.0,6758
4008,1000662,P00143642,M,18-25,4,B,2,1.0,1,2.0,6.0,7745
4058,1000671,P00268442,M,18-25,4,C,0,1.0,8,17.0,,9740
4059,1000671,P00350942,M,18-25,4,C,0,1.0,3,4.0,5.0,10787
4060,1000671,P00089442,M,18-25,4,C,0,1.0,8,,,9919
4061,1000671,P00110942,M,18-25,4,C,0,1.0,1,2.0,,19229
4062,1000671,P00175442,M,18-25,4,C,0,1.0,8,,,7811
4063,1000671,P00113242,M,18-25,4,C,0,1.0,1,6.0,8.0,11771
4764,1000774,P00110942,M,18-25,4,A,4+,0.0,1,2.0,,19565
4765,1000774,P00000642,M,18-25,4,A,4+,0.0,1,6.0,16.0,12049
4766,1000774,P00234842,M,18-25,4,A,4+,0.0,5,6.0,16.0,5222
4767,1000774,P00046742,M,18-25,4,A,4+,0.0,1,2.0,15.0,15167
4768,1000774,P00182542,M,18-25,4,A,4+,0.0,5,11.0,,5208
